form_code,year,month,type,source_url,pdf_url,english,math,reading,science,writing,has_answer_key,has_explanations,appears_official,confidence,duplicate_of,notes
G01,2023,September,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2023-september-act-g01,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
F12,2023,June,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2023-june-act-f12,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
F11,2023,April,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2023-april-act-f11,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
Z18,2023,April,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2023-april-act-z18,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
F07,2022,December,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2022-december-act-f07,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
E26,2022,June,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2022-june-act-e26,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
E25,2022,April,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2022-april-act-e25,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
Z08,2022,April,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2022-april-act-z08,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
E23,2021,December,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2021-december-act-e23,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
D06,2021,June,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2021-june-act-d06,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
D05,2021,April,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2021-april-act-d05,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
Z04,2021,April,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2021-april-act-z04,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
D03,2020,December,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2020-december-act-d03,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
C01,2020,July,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2020-july-act-c01,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
C02,2020,June,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2020-june-act-c02,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
C03,2019,December,released_form,https://quantumactprep.com/act-official-tests/video-explanations-2019-december-act-c03,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
B02,2019,June,released_form,https://quantumactprep.com/act-official-tests/2019-june-act-b02,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
B04,2019,April,released_form,https://quantumactprep.com/act-official-tests/2019-april-act-b04,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
Z15,2019,April,released_form,https://quantumactprep.com/act-official-tests/2019-april-act-z15,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
B05,2018,December,released_form,https://quantumactprep.com/act-official-tests/2018-act-december-b05,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
A11,2018,June,released_form,https://quantumactprep.com/act-official-tests/2018-june-act-a11,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
A09,2018,April,released_form,https://quantumactprep.com/act-official-tests/2018-act-april-a09,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
A10,2017,December,released_form,https://quantumactprep.com/act-official-tests/2017-act-december-a10,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
74C,2017,June,released_form,https://quantumactprep.com/act-official-tests/2017-june-act74c,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
74F,2017,April,released_form,https://quantumactprep.com/act-official-tests/2017-april-act74f,https://mysatactprep.com/wp-content/uploads/2019/11/ACTPracticeTest2018-2019.pdf,True,True,True,True,False,True,True,True,0.95,,ACT released TIR form; Quantum has video walkthroughs
74H,2016,December,released_form,https://quantumactprep.com/act-official-tests/2016-act-december-74h,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
72F,2016,June,released_form,https://quantumactprep.com/act-official-tests/2016-june-act72f,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
73E,2016,April,released_form,https://quantumactprep.com/act-official-tests/2016-april-act-73e,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
72E,2015,December,released_form,https://quantumactprep.com/act-official-tests/2015-december-act72e,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
73C,2015,June,released_form,https://quantumactprep.com/act-official-tests/2015-june-act-73c,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
73G,2015,April,released_form,https://quantumactprep.com/act-official-tests/2015-april-act-73g,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
72G,2014,December,released_form,https://quantumactprep.com/act-official-tests/2014-dec-act,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
72C,2014,June,released_form,https://quantumactprep.com/act-official-tests/2014-act-june-72c,https://drive.google.com/file/d/1hBc2wdW_ZUChsDu_YO7lYym4verktG02/view,True,True,True,True,False,True,True,True,0.95,,ACT released TIR form; Quantum has video walkthroughs
71H,2014,April,released_form,https://quantumactprep.com/act-official-tests/2014-act-april-71h,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
71E,2013,December,released_form,https://quantumactprep.com/act-official-tests/2013-act-december-71e,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
71C,2013,June,released_form,https://quantumactprep.com/act-official-tests/2013-act-june-71c,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
71G,2013,April,released_form,https://quantumactprep.com/act-official-tests/2013-act-april-71g,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
71A,2012,December,released_form,https://quantumactprep.com/act-official-tests/2012-act-december-71a,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
70C,2012,June,released_form,https://quantumactprep.com/act-official-tests/2012-act-june-70c,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
70G,2012,April,released_form,https://quantumactprep.com/act-official-tests/2012-act-april-70g,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
70A,2011,December,released_form,https://quantumactprep.com/act-official-tests/2011-act-december-70a,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
69F,2011,June,released_form,https://quantumactprep.com/act-official-tests/2011-act-june-69f,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
67F,2011,April,released_form,https://quantumactprep.com/act-official-tests/2011-act-april-67f,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
69A,2010,December,released_form,https://quantumactprep.com/act-official-tests/2010-act-december-69a,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
68C,2010,June,released_form,https://quantumactprep.com/act-official-tests/2010-act-june-68c,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
68G,2010,April,released_form,https://quantumactprep.com/act-official-tests/2010-act-april-68g,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
68A,2009,December,released_form,https://quantumactprep.com/act-official-tests/2009-act-dec-68a,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
67C,2009,June,released_form,https://quantumactprep.com/act-official-tests/2009-act-june-67c,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
66F,2009,April,released_form,https://quantumactprep.com/act-official-tests/2009-act-april-66f,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
67A,2008,December,released_form,https://quantumactprep.com/act-official-tests/2008-act-december-67a,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
66C,2008,June,released_form,https://quantumactprep.com/act-official-tests/2008-act-june-66c,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
65D,2008,April,released_form,https://quantumactprep.com/act-official-tests/2008-act-april-65d,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
65E,2007,December,released_form,https://quantumactprep.com/act-official-tests/2007-act-dec-65e,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
65C,2007,June,released_form,https://quantumactprep.com/act-official-tests/2007-act-june-65c,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
64E,2007,April,released_form,https://quantumactprep.com/act-official-tests/2007-act-april-64e,https://www.schs.cards/wp-content/uploads/2023/03/Test_1.pdf,True,True,True,True,False,True,True,True,0.95,,ACT released TIR form; Quantum has video walkthroughs
63D,2006,December,released_form,https://quantumactprep.com/act-official-tests/2006-act-dec-63d-test,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
63F,2006,June,released_form,https://quantumactprep.com/act-official-tests/2006-act-june-63f-test,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
63E,2006,April,released_form,https://quantumactprep.com/act-official-tests/2006-act-april-63e-test,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
61C,2006,January,released_form,,https://www.schs.cards/wp-content/uploads/2023/03/Test_2.pdf,True,True,True,True,False,True,True,True,0.95,,ACT released TIR form; Quantum has video walkthroughs
63C,2005,December,released_form,https://quantumactprep.com/act-official-tests/2005-act-dec-63c-test,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
60E,2005,April,released_form,https://quantumactprep.com/act-official-tests/2005-act-april-60e-test,,True,True,True,True,False,True,True,True,0.75,,ACT released TIR form; Quantum has video walkthroughs
25MC1,2025,Annual,preparing_for_the_act,https://www.act.org/content/dam/act/unsecured/documents/Preparing-for-the-ACT.pdf,https://www.act.org/content/dam/act/unsecured/documents/Preparing-for-the-ACT.pdf,True,True,True,True,True,True,True,True,0.99,,Preparing for the ACT booklet (free official); year-stamped
25MC5,2025,Annual,preparing_for_the_act,https://www.act.org/content/dam/act/secured/documents/ACT-Test-Prep-ACT-Practice-Test-2-Form.pdf,https://www.act.org/content/dam/act/secured/documents/ACT-Test-Prep-ACT-Practice-Test-2-Form.pdf,True,True,True,True,True,True,True,True,0.99,,Preparing for the ACT booklet (free official); year-stamped
2176CPRE,2024,Annual,preparing_for_the_act,https://www.act.org/content/dam/act/unsecured/documents/Preparing-for-the-ACT-24-25.pdf,https://www.act.org/content/dam/act/unsecured/documents/Preparing-for-the-ACT-24-25.pdf,True,True,True,True,True,True,True,True,0.99,,Preparing for the ACT booklet (free official); year-stamped
2176CPRE-DRIVE,2024,Annual,preparing_for_the_act,https://piqosity.com,https://drive.google.com/file/d/1x7dZRGm7M3txlByS04XlQ-rQ4R8_FepL/view,True,True,True,True,True,True,True,True,0.99,,Preparing for the ACT booklet (free official); year-stamped
74FPRE,2020,Annual,preparing_for_the_act,https://piqosity.com,https://drive.google.com/file/d/1oYlQ-xf32BQLsyVS5G4iuuxx2GZLoMXN/view,True,True,True,True,True,True,True,True,0.99,74F,Preparing for the ACT booklet (free official); year-stamped
72CPRE,2017,Annual,preparing_for_the_act,https://piqosity.com,https://drive.google.com/file/d/1hBc2wdW_ZUChsDu_YO7lYym4verktG02/view,True,True,True,True,True,True,True,True,0.99,72C,Preparing for the ACT booklet (free official); year-stamped
PFTA-ES,2025,Annual,preparing_for_the_act,https://www.act.org/content/dam/act/unsecured/documents/Preparing-for-the-ACT-Spanish.pdf,https://www.act.org/content/dam/act/unsecured/documents/Preparing-for-the-ACT-Spanish.pdf,True,True,True,True,True,True,True,True,0.99,,Preparing for the ACT booklet (free official); year-stamped
